Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
MILLAGE,55 Changi Road  #02-17 ,12,Strata,482000,40167,3732,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-04 ,23,Strata,845000,36739,3413,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-24 ,13,Strata,582000,44769,4159,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-03 ,23,Strata,804000,34957,3248,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-09 ,16,Strata,680000,42500,3948,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-07 ,19,Strata,723000,38053,3535,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-20 ,13,Strata,483000,37154,3452,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #01-11 ,26,Strata,1294000,49769,4624,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #01-24 ,11,Strata,700000,63636,5912,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #01-39 ,10,Strata,425000,42500,3948,05-APR-2012,Retail,Freehold,Sub Sale,14,41,419715,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-13 ,20,Strata,698000,34900,3242,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
